Time [s],Channel 0,Channel 1,Channel 2,Channel 3
-0.022619000,1,1,1,0
-0.000000000,0,1,1,0
0.000104000,1,1,1,0
0.000208000,0,1,1,0
0.000312000,1,1,1,0
0.000416000,0,1,1,0
0.000521000,1,1,1,0
0.000625000,0,1,1,0
0.000729000,1,1,1,0
0.000833000,0,1,1,0
0.000938000,1,1,1,0
0.001042000,0,1,1,0
0.001250000,1,1,1,0
0.001354000,0,1,1,0
0.001458000,1,1,1,0
0.001562000,0,1,1,0
0.001667000,1,1,1,0
0.001771000,0,1,1,0
0.001875000,1,1,1,0
0.002083000,0,1,1,0
0.002188000,1,1,1,0
0.002292000,0,1,1,0
0.003021000,1,1,1,0
0.003125000,0,1,1,0
0.003230000,1,1,1,0
0.003334000,0,1,1,0
0.004063000,1,1,1,0
0.004167000,0,1,1,0
0.004480000,1,1,1,0
0.004584000,0,1,1,0
0.005105000,1,1,1,0
0.005264000,1,0,1,0
0.005368000,1,1,1,0
0.005472000,1,0,1,0
0.005576000,1,1,1,0
0.005680000,1,0,1,0
0.005784000,1,1,1,0
0.005888000,1,0,1,0
0.005992000,1,1,1,0
0.006096000,1,0,1,0
0.006200000,1,1,1,0
0.006304000,1,0,1,0
0.006512000,1,1,1,0
0.006616000,1,0,1,0
0.006720000,1,1,1,0
0.006824000,1,0,1,0
0.006928000,1,1,1,0
0.007032000,1,0,1,0
0.007136000,1,1,1,0
0.007344000,1,0,1,0
0.007448000,1,1,1,0
0.007552000,1,0,1,0
0.008280000,1,1,1,0
0.008384000,1,0,1,0
0.008488000,1,1,1,0
0.008592000,1,0,1,0
0.008696000,1,1,1,0
0.008800000,1,0,1,0
0.009321000,1,1,1,0
0.009425000,1,0,1,0
0.009737000,1,1,1,0
0.009841000,1,0,1,0
0.010361000,1,1,1,0
0.010465000,1,0,1,0
0.010777000,1,1,1,0
0.010881000,1,0,1,0
0.010985000,1,1,1,0
0.011089000,1,0,1,0
0.011401000,1,1,1,0
0.011505000,1,0,1,0
0.012441000,1,1,1,0
0.012545000,1,0,1,0
0.013481000,1,1,1,0
0.013585000,1,0,1,0
0.014002000,1,1,1,0
0.014210000,1,0,1,0
0.014314000,1,1,1,0
0.025420000,0,1,1,0
0.025525000,1,1,1,0
