Time [s],Channel 0,Channel 1,Channel 2,Channel 3
-0.094743000,1,1,1,0
-0.000000000,0,1,1,0
0.000104000,1,1,1,0
0.000208000,0,1,1,0
0.000313000,1,1,1,0
0.000417000,0,1,1,0
0.000521000,1,1,1,0
0.000625000,0,1,1,0
0.000729000,1,1,1,0
0.000833000,0,1,1,0
0.000938000,1,1,1,0
0.001042000,0,1,1,0
0.001250000,1,1,1,0
0.001354000,0,1,1,0
0.001459000,1,1,1,0
0.001563000,0,1,1,0
0.001667000,1,1,1,0
0.001771000,0,1,1,0
0.001875000,1,1,1,0
0.002084000,0,1,1,0
0.002188000,1,1,1,0
0.002292000,0,1,1,0
0.003021000,1,1,1,0
0.003125000,0,1,1,0
0.003230000,1,1,1,0
0.003334000,0,1,1,0
0.004063000,1,1,1,0
0.004167000,0,1,1,0
0.004480000,1,1,1,0
0.004584000,0,1,1,0
0.005105000,1,1,1,0
0.005311000,1,0,1,0
0.005416000,1,1,1,0
0.005520000,1,0,1,0
0.005624000,1,1,1,0
0.005728000,1,0,1,0
0.005832000,1,1,1,0
0.005936000,1,0,1,0
0.006040000,1,1,1,0
0.006144000,1,0,1,0
0.006248000,1,1,1,0
0.006352000,1,0,1,0
0.006560000,1,1,1,0
0.006664000,1,0,1,0
0.006768000,1,1,1,0
0.006872000,1,0,1,0
0.006976000,1,1,1,0
0.007080000,1,0,1,0
0.007184000,1,1,1,0
0.007392000,1,0,1,0
0.007496000,1,1,1,0
0.007600000,1,0,1,0
0.008328000,1,1,1,0
0.008432000,1,0,1,0
0.008536000,1,1,1,0
0.008640000,1,0,1,0
0.008744000,1,1,1,0
0.008848000,1,0,1,0
0.009368000,1,1,1,0
0.009472000,1,0,1,0
0.009785000,1,1,1,0
0.009888000,1,0,1,0
0.010409000,1,1,1,0
0.010513000,1,0,1,0
0.010825000,1,1,1,0
0.010929000,1,0,1,0
0.011033000,1,1,1,0
0.011137000,1,0,1,0
0.011345000,1,1,1,0
0.011553000,1,0,1,0
0.012489000,1,1,1,0
0.012593000,1,0,1,0
0.013529000,1,1,1,0
0.013633000,1,0,1,0
0.013945000,1,1,1,0
0.014049000,1,0,1,0
0.014361000,1,1,1,0
0.025421000,0,1,1,0
0.025525000,1,1,1,0
0.025629000,0,1,1,0
0.025733000,1,1,1,0
0.025837000,0,1,1,0
0.025942000,1,1,1,0
0.026046000,0,1,1,0
0.026150000,1,1,1,0
