<<<<<<< HEAD
Time [s],Channel 0,Channel 1,Channel 2,Channel 3
-0.113685000,1,1,1,0
-0.000000000,0,1,1,0
0.000104000,1,1,1,0
0.000208000,0,1,1,0
0.000312000,1,1,1,0
0.000416000,0,1,1,0
0.000521000,1,1,1,0
0.000625000,0,1,1,0
0.000729000,1,1,1,0
0.000833000,0,1,1,0
0.000938000,1,1,1,0
0.001042000,0,1,1,0
0.001250000,1,1,1,0
0.001354000,0,1,1,0
0.001458000,1,1,1,0
0.001562000,0,1,1,0
0.001667000,1,1,1,0
0.001771000,0,1,1,0
0.001875000,1,1,1,0
0.002083000,0,1,1,0
0.002188000,1,1,1,0
0.002292000,0,1,1,0
0.003021000,1,1,1,0
0.003125000,0,1,1,0
0.003230000,1,1,1,0
0.003334000,0,1,1,0
0.004063000,1,1,1,0
0.004167000,0,1,1,0
0.004480000,1,1,1,0
0.004584000,0,1,1,0
0.005105000,1,1,1,0
0.005261000,1,0,1,0
0.005365000,1,1,1,0
0.005469000,1,0,1,0
0.005573000,1,1,1,0
0.005677000,1,0,1,0
0.005781000,1,1,1,0
0.005885000,1,0,1,0
0.005989000,1,1,1,0
0.006093000,1,0,1,0
0.006197000,1,1,1,0
0.006301000,1,0,1,0
0.006509000,1,1,1,0
0.006613000,1,0,1,0
0.006717000,1,1,1,0
0.006821000,1,0,1,0
0.006925000,1,1,1,0
0.007029000,1,0,1,0
0.007133000,1,1,1,0
0.007341000,1,0,1,0
0.007445000,1,1,1,0
0.007549000,1,0,1,0
0.008277000,1,1,1,0
0.008381000,1,0,1,0
0.008485000,1,1,1,0
0.008589000,1,0,1,0
0.008694000,1,1,1,0
0.008797000,1,0,1,0
0.009318000,1,1,1,0
0.009422000,1,0,1,0
0.009734000,1,1,1,0
0.009838000,1,0,1,0
0.010358000,1,1,1,0
0.010462000,1,0,1,0
0.010774000,1,1,1,0
0.010878000,1,0,1,0
0.010982000,1,1,1,0
0.011086000,1,0,1,0
0.011294000,1,1,1,0
0.011502000,1,0,1,0
0.012438000,1,1,1,0
0.012542000,1,0,1,0
0.012646000,1,1,1,0
0.012750000,1,0,1,0
0.013478000,1,1,1,0
0.013582000,1,0,1,0
0.013687000,1,1,1,0
0.013895000,1,0,1,0
0.014103000,1,1,1,0
0.025420000,0,1,1,0
0.025525000,1,1,1,0
0.025629000,0,1,1,0
0.025733000,1,1,1,0
0.025837000,0,1,1,0
0.025942000,1,1,1,0
0.026046000,0,1,1,0
0.026150000,1,1,1,0
0.026254000,0,1,1,0
0.026358000,1,1,1,0
0.026462000,0,1,1,0
0.026671000,1,1,1,0
0.026775000,0,1,1,0
0.026879000,1,1,1,0
0.026983000,0,1,1,0
0.027088000,1,1,1,0
0.027192000,0,1,1,0
0.027296000,1,1,1,0
0.027504000,0,1,1,0
0.027608000,1,1,1,0
0.027712000,0,1,1,0
0.028442000,1,1,1,0
0.028546000,0,1,1,0
0.028650000,1,1,1,0
0.028754000,0,1,1,0
0.029484000,1,1,1,0
0.029588000,0,1,1,0
0.029901000,1,1,1,0
0.030005000,0,1,1,0
0.030213000,1,1,1,0
0.030317000,0,1,1,0
0.030526000,1,1,1,0
0.030732000,1,0,1,0
0.030836000,1,1,1,0
0.030940000,1,0,1,0
0.031044000,1,1,1,0
0.031148000,1,0,1,0
0.031252000,1,1,1,0
0.031356000,1,0,1,0
0.031460000,1,1,1,0
0.031564000,1,0,1,0
0.031668000,1,1,1,0
0.031772000,1,0,1,0
0.031980000,1,1,1,0
0.032084000,1,0,1,0
0.032188000,1,1,1,0
0.032292000,1,0,1,0
0.032396000,1,1,1,0
0.032500000,1,0,1,0
0.032604000,1,1,1,0
0.032812000,1,0,1,0
0.032916000,1,1,1,0
0.033020000,1,0,1,0
0.033748000,1,1,1,0
0.033852000,1,0,1,0
0.033956000,1,1,1,0
0.034060000,1,0,1,0
0.034164000,1,1,1,0
0.034268000,1,0,1,0
0.034789000,1,1,1,0
0.034892000,1,0,1,0
0.035205000,1,1,1,0
0.035309000,1,0,1,0
0.035517000,1,1,1,0
0.035621000,1,0,1,0
0.035829000,1,1,1,0
0.035933000,1,0,1,0
0.036245000,1,1,1,0
0.036349000,1,0,1,0
0.036453000,1,1,1,0
0.036557000,1,0,1,0
0.036765000,1,1,1,0
0.036973000,1,0,1,0
0.037077000,1,1,1,0
0.038013000,1,0,1,0
0.038221000,1,1,1,0
0.039053000,1,0,1,0
0.039157000,1,1,1,0
0.039365000,1,0,1,0
0.039573000,1,1,1,0
0.058863000,0,1,1,0
0.058968000,1,1,1,0
0.059072000,0,1,1,0
0.059176000,1,1,1,0
0.059280000,0,1,1,0
0.059384000,1,1,1,0
0.059488000,0,1,1,0
0.059593000,1,1,1,0
0.059697000,0,1,1,0
0.059801000,1,1,1,0
0.059905000,0,1,1,0
0.060114000,1,1,1,0
0.060218000,0,1,1,0
0.060322000,1,1,1,0
0.060426000,0,1,1,0
0.060530000,1,1,1,0
0.060634000,0,1,1,0
0.060739000,1,1,1,0
0.060947000,0,1,1,0
0.061051000,1,1,1,0
0.061155000,0,1,1,0
0.061885000,1,1,1,0
0.061989000,0,1,1,0
0.062302000,1,1,1,0
0.062406000,0,1,1,0
0.062927000,1,1,1,0
0.063031000,0,1,1,0
0.063135000,1,1,1,0
0.063239000,0,1,1,0
0.063968000,1,1,1,0
0.064072000,0,1,1,0
0.065010000,1,1,1,0
0.065114000,0,1,1,0
0.066052000,1,1,1,0
