Time [s],Channel 0,Channel 1,Channel 2,Channel 3
-0.000512000,1,1,1,0
-0.000000000,0,1,1,0
0.000462000,1,1,1,0
0.000656000,1,0,1,0
0.000760000,1,1,1,0
0.000864000,1,0,1,0
0.000968000,1,1,1,0
0.001072000,1,0,1,0
0.001176000,1,1,1,0
0.001280000,1,0,1,0
0.001384000,1,1,1,0
0.001488000,1,0,1,0
0.001592000,1,1,1,0
0.001696000,1,0,1,0
0.001904000,1,1,1,0
0.002008000,1,0,1,0
0.002112000,1,1,1,0
0.002216000,1,0,1,0
0.002320000,1,1,1,0
0.002424000,1,0,1,0
0.002528000,1,1,1,0
0.002736000,1,0,1,0
0.002840000,1,1,1,0
0.002944000,1,0,1,0
0.003672000,1,1,1,0
0.003776000,1,0,1,0
0.003880000,1,1,1,0
0.003984000,1,0,1,0
0.004088000,1,1,1,0
0.004192000,1,0,1,0
0.004712000,1,1,1,0
0.004816000,1,0,1,0
0.005129000,1,1,1,0
0.005232000,1,0,1,0
0.005753000,1,1,1,0
0.005857000,1,0,1,0
0.006169000,1,1,1,0
0.006273000,1,0,1,0
0.006377000,1,1,1,0
0.006481000,1,0,1,0
0.006689000,1,1,1,0
0.006897000,1,0,1,0
0.007833000,1,1,1,0
0.007937000,1,0,1,0
0.008041000,1,1,1,0
0.008145000,1,0,1,0
0.008873000,1,1,1,0
0.008977000,1,0,1,0
0.009081000,1,1,1,0
0.009393000,1,0,1,0
0.009497000,1,1,1,0
0.009809000,1,0,1,0
0.009914000,1,1,1,0
0.020778000,0,1,1,0
0.020882000,1,1,1,0
0.020986000,0,1,1,0
0.021091000,1,1,1,0
0.021195000,0,1,1,0
0.021299000,1,1,1,0
0.021403000,0,1,1,0
0.021507000,1,1,1,0
0.021611000,0,1,1,0
0.021716000,1,1,1,0
0.021820000,0,1,1,0
0.022028000,1,1,1,0
0.022132000,0,1,1,0
0.022237000,1,1,1,0
0.022341000,0,1,1,0
0.022445000,1,1,1,0
0.022549000,0,1,1,0
0.022653000,1,1,1,0
0.022862000,0,1,1,0
0.022966000,1,1,1,0
0.023070000,0,1,1,0
0.023799000,1,1,1,0
0.023903000,0,1,1,0
0.024008000,1,1,1,0
0.024112000,0,1,1,0
0.024841000,1,1,1,0
0.024945000,0,1,1,0
0.025258000,1,1,1,0
0.025362000,0,1,1,0
0.025571000,1,1,1,0
0.025675000,0,1,1,0
0.025883000,1,1,1,0
0.026060000,1,0,1,0
0.026164000,1,1,1,0
0.026268000,1,0,1,0
0.026372000,1,1,1,0
0.026476000,1,0,1,0
0.026580000,1,1,1,0
0.026684000,1,0,1,0
0.026788000,1,1,1,0
0.026892000,1,0,1,0
0.026997000,1,1,1,0
0.027100000,1,0,1,0
0.027309000,1,1,1,0
0.027413000,1,0,1,0
0.027517000,1,1,1,0
0.027621000,1,0,1,0
0.027725000,1,1,1,0
0.027829000,1,0,1,0
0.027933000,1,1,1,0
0.028141000,1,0,1,0
0.028245000,1,1,1,0
0.028349000,1,0,1,0
0.029077000,1,1,1,0
0.029181000,1,0,1,0
0.029285000,1,1,1,0
0.029389000,1,0,1,0
0.029493000,1,1,1,0
0.029597000,1,0,1,0
0.030117000,1,1,1,0
0.030221000,1,0,1,0
0.030533000,1,1,1,0
0.030637000,1,0,1,0
0.030845000,1,1,1,0
0.030949000,1,0,1,0
0.031157000,1,1,1,0
0.031261000,1,0,1,0
0.031573000,1,1,1,0
0.031677000,1,0,1,0
0.031781000,1,1,1,0
0.031885000,1,0,1,0
0.032094000,1,1,1,0
0.032301000,1,0,1,0
0.032406000,1,1,1,0
0.033342000,1,0,1,0
0.033550000,1,1,1,0
0.034382000,1,0,1,0
0.034590000,1,1,1,0
0.035110000,1,0,1,0
0.035318000,1,1,1,0
0.054221000,0,1,1,0
0.054325000,1,1,1,0
0.054429000,0,1,1,0
0.054534000,1,1,1,0
0.054638000,0,1,1,0
0.054742000,1,1,1,0
0.054846000,0,1,1,0
0.054950000,1,1,1,0
0.055054000,0,1,1,0
0.055159000,1,1,1,0
0.055263000,0,1,1,0
0.055471000,1,1,1,0
0.055575000,0,1,1,0
0.055680000,1,1,1,0
0.055784000,0,1,1,0
0.055888000,1,1,1,0
0.055992000,0,1,1,0
0.056096000,1,1,1,0
0.056304000,0,1,1,0
0.056409000,1,1,1,0
0.056513000,0,1,1,0
0.057242000,1,1,1,0
0.057346000,0,1,1,0
0.057659000,1,1,1,0
0.057763000,0,1,1,0
0.058284000,1,1,1,0
0.058388000,0,1,1,0
