Time [s],Channel 0,Channel 1,Channel 2,Channel 3
-0.101252000,1,1,1,0
-0.000000000,0,1,1,0
0.000105000,1,1,1,0
0.000209000,0,1,1,0
0.000313000,1,1,1,0
0.000417000,0,1,1,0
0.000522000,1,1,1,0
0.000626000,0,1,1,0
0.000730000,1,1,1,0
0.000834000,0,1,1,0
0.000938000,1,1,1,0
0.001042000,0,1,1,0
0.001251000,1,1,1,0
0.001355000,0,1,1,0
0.001459000,1,1,1,0
0.001563000,0,1,1,0
0.001668000,1,1,1,0
0.001772000,0,1,1,0
0.001876000,1,1,1,0
0.002084000,0,1,1,0
0.002189000,1,1,1,0
0.002293000,0,1,1,0
0.003022000,1,1,1,0
0.003126000,0,1,1,0
0.003230000,1,1,1,0
0.003334000,0,1,1,0
0.004064000,1,1,1,0
0.004168000,0,1,1,0
0.004481000,1,1,1,0
0.004585000,0,1,1,0
0.005106000,1,1,1,0
0.005337000,1,0,1,0
0.005442000,1,1,1,0
0.005545000,1,0,1,0
0.005650000,1,1,1,0
0.005754000,1,0,1,0
0.005858000,1,1,1,0
0.005962000,1,0,1,0
0.006066000,1,1,1,0
0.006170000,1,0,1,0
0.006274000,1,1,1,0
0.006378000,1,0,1,0
0.006586000,1,1,1,0
0.006690000,1,0,1,0
0.006794000,1,1,1,0
0.006898000,1,0,1,0
0.007002000,1,1,1,0
0.007106000,1,0,1,0
0.007210000,1,1,1,0
0.007418000,1,0,1,0
0.007522000,1,1,1,0
0.007626000,1,0,1,0
0.008354000,1,1,1,0
0.008458000,1,0,1,0
0.008562000,1,1,1,0
0.008666000,1,0,1,0
0.008770000,1,1,1,0
0.008874000,1,0,1,0
0.009394000,1,1,1,0
0.009498000,1,0,1,0
0.009810000,1,1,1,0
0.009914000,1,0,1,0
0.010435000,1,1,1,0
0.010539000,1,0,1,0
0.010851000,1,1,1,0
0.010955000,1,0,1,0
0.011059000,1,1,1,0
0.011163000,1,0,1,0
0.011475000,1,1,1,0
0.011579000,1,0,1,0
0.012515000,1,1,1,0
0.012619000,1,0,1,0
0.013555000,1,1,1,0
0.013659000,1,0,1,0
