Time [s],HBX TX,HBX RX,RA RX,RA TX,DEC RX,DEC TX
-0.001000000,1,1,1,1,1,1
0.000000000,0,1,0,1,0,1
0.000104292,1,1,0,1,1,1
0.000104333,1,1,1,1,1,1
0.000208375,0,1,0,1,0,1
0.000312667,1,1,1,1,1,1
0.000416708,1,1,1,1,0,1
0.000416750,0,1,0,1,0,1
0.000521042,1,1,1,1,1,1
0.000625083,0,1,0,1,0,1
0.000729417,1,1,1,1,1,1
0.000833458,0,1,0,1,0,1
0.000937792,1,1,1,1,1,1
0.001041833,0,1,0,1,0,1
0.001250333,1,1,1,1,1,1
0.001354375,0,1,0,1,0,1
0.001458708,1,1,1,1,1,1
0.001562750,0,1,0,1,0,1
0.001667042,1,1,0,1,0,1
0.001667083,1,1,1,1,1,1
0.001771125,0,1,0,1,0,1
0.001875417,1,1,1,1,1,1
0.002083667,0,1,0,1,0,1
0.002187958,1,1,0,1,0,1
0.002188000,1,1,1,1,1,1
0.002292042,0,1,0,1,0,1
0.003021458,1,1,1,1,1,1
0.003125500,0,1,0,1,0,1
0.003229792,1,1,0,1,0,1
0.003229833,1,1,1,1,1,1
0.003333875,0,1,0,1,0,1
0.004063292,1,1,1,1,1,1
0.004167333,0,1,0,1,0,1
0.004480000,1,1,1,1,1,1
0.004584083,0,1,0,1,0,1
0.005105125,1,1,1,1,1,1
0.005197833,1,1,1,0,1,1
0.005197875,1,0,1,0,1,1
0.005301833,1,0,1,1,1,1
0.005301875,1,1,1,1,1,1
0.005405875,1,1,1,0,1,1
0.005405917,1,0,1,0,1,1
0.005509875,1,0,1,1,1,1
0.005509958,1,1,1,1,1,1
0.005613917,1,1,1,0,1,1
0.005613958,1,0,1,0,1,1
0.005717917,1,0,1,1,1,1
0.005718000,1,1,1,1,1,1
0.005821958,1,1,1,0,1,1
0.005822000,1,0,1,0,1,1
0.005925958,1,0,1,1,1,1
0.005926042,1,1,1,1,1,1
0.006030000,1,1,1,0,1,1
0.006030042,1,0,1,0,1,1
0.006134000,1,0,1,1,1,1
0.006134042,1,1,1,1,1,1
0.006238042,1,1,1,0,1,1
0.006238083,1,0,1,0,1,1
0.006446083,1,0,1,1,1,1
0.006446125,1,1,1,1,1,1
0.006550083,1,1,1,0,1,1
0.006550167,1,0,1,0,1,1
0.006654125,1,0,1,1,1,1
0.006654208,1,1,1,1,1,1
0.006758167,1,1,1,0,1,1
0.006758208,1,0,1,0,1,1
0.006862167,1,0,1,1,1,1
0.006862208,1,1,1,1,1,1
0.006966208,1,1,1,0,1,1
0.006966250,1,0,1,0,1,1
0.007070208,1,0,1,1,1,1
0.007070250,1,1,1,1,1,1
0.007278250,1,1,1,0,1,1
0.007278292,1,0,1,0,1,1
0.007382250,1,0,1,1,1,1
0.007382333,1,1,1,1,1,1
0.007486292,1,1,1,0,1,1
0.007486333,1,0,1,0,1,1
0.008214417,1,0,1,1,1,1
0.008214500,1,1,1,1,1,1
0.008318458,1,1,1,0,1,1
0.008318500,1,0,1,0,1,1
0.008422500,1,0,1,1,1,1
0.008422542,1,1,1,1,1,1
0.008526500,1,1,1,0,1,1
0.008526542,1,0,1,0,1,1
0.008630542,1,0,1,1,1,1
0.008630583,1,1,1,1,1,1
0.008734542,1,1,1,0,1,1
0.008734625,1,0,1,0,1,1
0.009254667,1,0,1,1,1,1
0.009254708,1,1,1,1,1,1
0.009358708,1,1,1,0,1,1
0.009358750,1,0,1,0,1,1
0.009670750,1,0,1,1,1,1
0.009670833,1,1,1,1,1,1
0.009774792,1,1,1,0,1,1
0.009774833,1,0,1,0,1,1
0.010294875,1,0,1,1,1,1
0.010294958,1,1,1,1,1,1
0.010398917,1,1,1,0,1,1
0.010398958,1,0,1,0,1,1
0.010710958,1,0,1,1,1,1
0.010711042,1,1,1,1,1,1
0.010815000,1,1,1,0,1,1
0.010815042,1,0,1,0,1,1
0.010919000,1,0,1,1,1,1
0.010919083,1,1,1,1,1,1
0.011023042,1,1,1,0,1,1
0.011023083,1,0,1,0,1,1
0.011231083,1,0,1,1,1,1
0.011231125,1,1,1,1,1,1
0.011439125,1,1,1,0,1,1
0.011439167,1,0,1,0,1,1
0.011543125,1,0,1,1,1,1
0.011543208,1,1,1,1,1,1
0.011647167,1,1,1,0,1,1
0.011647208,1,0,1,0,1,1
0.011751167,1,0,1,1,1,1
0.011751250,1,1,1,1,1,1
0.012479333,1,1,1,0,1,1
0.012479375,1,0,1,0,1,1
0.012583333,1,0,1,1,1,1
0.012583417,1,1,1,1,1,1
0.012791417,1,1,1,0,1,1
0.012791458,1,0,1,0,1,1
0.012895417,1,0,1,1,1,1
0.012895500,1,1,1,1,1,1
0.012999458,1,1,1,0,1,1
0.012999500,1,0,1,0,1,1
0.013103458,1,0,1,1,1,1
0.013103542,1,1,1,1,1,1
0.013311500,1,1,1,0,1,1
0.013311583,1,0,1,0,1,1
0.013415542,1,0,1,1,1,1
0.013415583,1,1,1,1,1,1
0.013519583,1,1,1,0,1,1
0.013519625,1,0,1,0,1,1
0.013727583,1,0,1,1,1,1
0.013727667,1,1,1,1,1,1
0.013935667,1,1,1,0,1,1
0.013935708,1,0,1,0,1,1
0.014039667,1,0,1,1,1,1
0.014039750,1,1,1,1,1,1
0.014247708,1,1,1,0,1,1
0.014247750,1,0,1,0,1,1
0.014455750,1,0,1,1,1,1
0.014455792,1,1,1,1,1,1
0.025420750,0,1,0,1,0,1
0.025525083,1,1,1,1,1,1
0.025629125,0,1,0,1,0,1
0.025733458,1,1,1,1,1,1
0.025837500,0,1,0,1,0,1
0.025941833,1,1,1,1,1,1
0.026045875,0,1,0,1,0,1
0.026150167,1,1,0,1,1,1
0.026150208,1,1,1,1,1,1
0.026254250,0,1,0,1,0,1
0.026358542,1,1,1,1,1,1
0.026462583,0,1,1,1,0,1
0.026462625,0,1,0,1,0,1
0.026671083,1,1,1,1,0,1
0.026671125,1,1,1,1,1,1
0.026775167,0,1,0,1,0,1
0.026879458,1,1,1,1,1,1
0.026983500,1,1,1,1,0,1
0.026983542,0,1,0,1,0,1
0.027087833,1,1,1,1,1,1
0.027191875,0,1,0,1,0,1
0.027296208,1,1,1,1,1,1
0.027504417,1,1,1,1,0,1
0.027504458,0,1,0,1,0,1
0.027608750,1,1,1,1,1,1
0.027712792,0,1,0,1,0,1
0.028442208,1,1,1,1,1,1
0.028546250,1,1,1,1,0,1
0.028546292,0,1,0,1,0,1
0.028650583,1,1,1,1,1,1
0.028754625,0,1,0,1,0,1
0.029484042,1,1,1,1,0,1
0.029484083,1,1,1,1,1,1
0.029588083,1,1,1,1,0,1
0.029588125,0,1,0,1,0,1
0.029900792,1,1,1,1,1,1
0.030004833,0,1,0,1,0,1
0.030213333,1,1,1,1,1,1
0.030317375,0,1,0,1,0,1
0.030525875,1,1,1,1,1,1
0.030700000,1,1,1,1,1,0
0.030700042,1,0,1,1,1,0
0.030804000,1,0,1,1,1,1
0.030804083,1,1,1,1,1,1
0.030908042,1,1,1,1,1,0
0.030908083,1,0,1,1,1,0
0.031012042,1,0,1,1,1,1
0.031012125,1,1,1,1,1,1
0.031116083,1,1,1,1,1,0
0.031116125,1,0,1,1,1,0
0.031220083,1,0,1,1,1,1
0.031220167,1,1,1,1,1,1
0.031324125,1,1,1,1,1,0
0.031324167,1,0,1,1,1,0
0.031428125,1,0,1,1,1,1
0.031428208,1,1,1,1,1,1
0.031532167,1,1,1,1,1,0
0.031532208,1,0,1,1,1,0
0.031636167,1,0,1,1,1,1
0.031636250,1,1,1,1,1,1
0.031740208,1,1,1,1,1,0
0.031740250,1,0,1,1,1,0
0.031948250,1,0,1,1,1,1
0.031948333,1,1,1,1,1,1
0.032052250,1,1,1,1,1,0
0.032052292,1,0,1,1,1,0
0.032156292,1,0,1,1,1,1
0.032156375,1,1,1,1,1,1
0.032260292,1,1,1,1,1,0
0.032260333,1,0,1,1,1,0
0.032364333,1,0,1,1,1,1
0.032364417,1,1,1,1,1,1
0.032468333,1,1,1,1,1,0
0.032468375,1,0,1,1,1,0
0.032572375,1,0,1,1,1,1
