Time [s],HBX TX,HBX RX,RA RX,RA TX,DEC RX,DEC TX
-0.000085333,1,1,1,1,1,1
0.000000000,0,1,0,1,0,1
0.000052875,1,1,1,1,1,1
0.000156917,0,1,0,1,0,1
0.000261250,1,1,1,1,1,1
0.000365292,0,1,0,1,0,1
0.000573792,1,1,1,1,1,1
0.000677833,0,1,0,1,0,1
0.000782167,1,1,1,1,1,1
0.000886208,0,1,0,1,0,1
0.000990500,1,1,1,1,1,1
0.001094583,0,1,0,1,0,1
0.001198875,1,1,1,1,1,1
0.001407125,0,1,0,1,0,1
0.001511417,1,1,0,1,0,1
0.001511458,1,1,1,1,1,1
0.001615500,0,1,0,1,0,1
0.002344917,1,1,1,1,1,1
0.002448958,0,1,0,1,0,1
0.002553250,1,1,0,1,0,1
0.002553292,1,1,1,1,1,1
0.002657333,0,1,0,1,0,1
0.003386708,1,1,1,1,0,1
0.003386750,1,1,1,1,1,1
0.003490792,0,1,0,1,0,1
0.003803458,1,1,1,1,1,1
0.003907500,1,1,1,1,0,1
0.003907542,0,1,0,1,0,1
0.004428542,0,1,0,1,1,1
0.004428583,1,1,1,1,1,1
0.004551458,1,1,1,0,1,1
0.004551500,1,0,1,0,1,1
0.004655458,1,0,1,1,1,1
0.004655542,1,1,1,1,1,1
0.004759500,1,1,1,0,1,1
0.004759542,1,0,1,0,1,1
0.004863500,1,0,1,1,1,1
0.004863583,1,1,1,1,1,1
0.004967542,1,1,1,0,1,1
0.004967583,1,0,1,0,1,1
0.005071542,1,0,1,1,1,1
0.005071625,1,1,1,1,1,1
0.005175583,1,1,1,0,1,1
0.005175625,1,0,1,0,1,1
0.005279583,1,0,1,1,1,1
0.005279667,1,1,1,1,1,1
0.005383625,1,1,1,0,1,1
0.005383667,1,0,1,0,1,1
0.005487625,1,0,1,1,1,1
0.005487708,1,1,1,1,1,1
0.005591667,1,1,1,0,1,1
0.005591708,1,0,1,0,1,1
0.005799708,1,0,1,1,1,1
0.005799792,1,1,1,1,1,1
0.005903750,1,1,1,0,1,1
0.005903792,1,0,1,0,1,1
0.006007750,1,0,1,1,1,1
0.006007792,1,1,1,1,1,1
0.006111792,1,1,1,0,1,1
0.006111833,1,0,1,0,1,1
0.006215792,1,0,1,1,1,1
0.006215875,1,1,1,1,1,1
0.006319833,1,1,1,0,1,1
0.006319875,1,0,1,0,1,1
0.006423833,1,0,1,1,1,1
0.006423917,1,1,1,1,1,1
0.006631917,1,1,1,0,1,1
0.006631958,1,0,1,0,1,1
0.006735917,1,0,1,1,1,1
0.006736000,1,1,1,1,1,1
0.006839958,1,1,1,0,1,1
0.006840000,1,0,1,0,1,1
0.007568083,1,0,1,1,1,1
0.007568167,1,1,1,1,1,1
0.007672125,1,1,1,0,1,1
0.007672167,1,0,1,0,1,1
0.007776125,1,0,1,1,1,1
0.007776208,1,1,1,1,1,1
0.007880167,1,1,1,0,1,1
0.007880208,1,0,1,0,1,1
0.007984167,1,0,1,1,1,1
0.007984250,1,1,1,1,1,1
0.008088208,1,1,1,0,1,1
0.008088250,1,0,1,0,1,1
0.008608292,1,0,1,1,1,1
0.008608375,1,1,1,1,1,1
0.008712333,1,1,1,0,1,1
0.008712375,1,0,1,0,1,1
0.009024375,1,0,1,1,1,1
0.009024458,1,1,1,1,1,1
0.009128417,1,1,1,0,1,1
0.009128458,1,0,1,0,1,1
0.009648500,1,0,1,1,1,1
0.009648583,1,1,1,1,1,1
0.009752542,1,1,1,0,1,1
0.009752583,1,0,1,0,1,1
0.010064583,1,0,1,1,1,1
0.010064667,1,1,1,1,1,1
0.010168625,1,1,1,0,1,1
0.010168667,1,0,1,0,1,1
0.010272625,1,0,1,1,1,1
0.010272708,1,1,1,1,1,1
0.010376667,1,1,1,0,1,1
0.010376708,1,0,1,0,1,1
0.010688750,1,0,1,1,1,1
0.010688792,1,1,1,1,1,1
0.010792750,1,1,1,0,1,1
0.010792833,1,0,1,0,1,1
0.011728958,1,0,1,1,1,1
0.011729042,1,1,1,1,1,1
0.011833000,1,1,1,0,1,1
0.011833042,1,0,1,0,1,1
0.011937000,1,0,1,1,1,1
0.011937083,1,1,1,1,1,1
0.012145042,1,1,1,0,1,1
0.012145083,1,0,1,0,1,1
0.012249042,1,0,1,1,1,1
0.012249125,1,1,1,1,1,1
0.012353083,1,1,1,0,1,1
0.012353125,1,0,1,0,1,1
0.012769167,1,0,1,1,1,1
0.012769250,1,1,1,1,1,1
0.012873208,1,1,1,0,1,1
0.012873250,1,0,1,0,1,1
0.012977208,1,0,1,1,1,1
0.012977292,1,1,1,1,1,1
0.013185250,1,1,1,0,1,1
0.013185333,1,0,1,0,1,1
0.013705375,1,0,1,1,1,1
0.013705417,1,1,1,1,1,1
0.024744208,0,1,0,1,0,1
0.024848500,1,1,0,1,0,1
0.024848542,1,1,1,1,1,1
0.024952583,0,1,0,1,0,1
0.025056875,1,1,1,1,1,1
0.025160917,1,1,1,1,0,1
0.025160958,0,1,0,1,0,1
0.025265250,1,1,1,1,1,1
0.025369292,0,1,0,1,0,1
0.025473625,1,1,1,1,1,1
0.025577667,0,1,0,1,0,1
0.025682000,1,1,1,1,1,1
0.025786042,0,1,0,1,0,1
0.025994542,1,1,1,1,1,1
0.026098583,0,1,0,1,0,1
0.026202917,1,1,1,1,1,1
0.026306958,0,1,0,1,0,1
0.026411292,1,1,1,1,1,1
0.026515333,0,1,0,1,0,1
0.026619625,1,1,0,1,0,1
0.026619667,1,1,1,1,1,1
0.026827875,0,1,0,1,0,1
0.026932167,1,1,0,1,0,1
0.026932208,1,1,1,1,1,1
0.027036250,0,1,0,1,0,1
0.027765667,1,1,1,1,1,1
