Time [s],Channel 0,Channel 1,Channel 2,Channel 3
-0.018480000,1,1,1,0
0.000000000,0,1,1,0
0.000104000,1,1,1,0
0.000208000,0,1,1,0
0.000312000,1,1,1,0
0.000416000,0,1,1,0
0.000521000,1,1,1,0
0.000625000,0,1,1,0
0.000729000,1,1,1,0
0.000833000,0,1,1,0
0.000937000,1,1,1,0
0.001041000,0,1,1,0
0.001250000,1,1,1,0
0.001354000,0,1,1,0
0.001458000,1,1,1,0
0.001562000,0,1,1,0
0.001667000,1,1,1,0
0.001771000,0,1,1,0
0.001875000,1,1,1,0
0.002083000,0,1,1,0
0.002188000,1,1,1,0
0.002292000,0,1,1,0
0.003021000,1,1,1,0
0.003125000,0,1,1,0
0.003229000,1,1,1,0
0.003333000,0,1,1,0
0.004063000,1,1,1,0
0.004167000,0,1,1,0
0.004480000,1,1,1,0
0.004584000,0,1,1,0
0.005105000,1,1,1,0
0.005212000,1,0,1,0
0.005317000,1,1,1,0
0.005420000,1,0,1,0
0.005525000,1,1,1,0
0.005629000,1,0,1,0
0.005733000,1,1,1,0
0.005837000,1,0,1,0
0.005941000,1,1,1,0
0.006045000,1,0,1,0
0.006149000,1,1,1,0
0.006253000,1,0,1,0
0.006461000,1,1,1,0
0.006565000,1,0,1,0
0.006669000,1,1,1,0
0.006773000,1,0,1,0
0.006877000,1,1,1,0
0.006981000,1,0,1,0
0.007085000,1,1,1,0
0.007293000,1,0,1,0
0.007397000,1,1,1,0
0.007501000,1,0,1,0
0.008229000,1,1,1,0
0.008333000,1,0,1,0
0.008437000,1,1,1,0
0.008541000,1,0,1,0
0.008645000,1,1,1,0
0.008749000,1,0,1,0
0.009269000,1,1,1,0
0.009373000,1,0,1,0
0.009685000,1,1,1,0
0.009789000,1,0,1,0
0.010310000,1,1,1,0
0.010414000,1,0,1,0
0.010726000,1,1,1,0
0.010830000,1,0,1,0
0.011350000,1,1,1,0
0.011454000,1,0,1,0
0.012390000,1,1,1,0
0.012494000,1,0,1,0
0.013430000,1,1,1,0
0.013534000,1,0,1,0
0.013638000,1,1,1,0
0.013742000,1,0,1,0
0.014470000,1,1,1,0
0.025420000,0,1,1,0
0.025525000,1,1,1,0
0.025629000,0,1,1,0
0.025733000,1,1,1,0
0.025837000,0,1,1,0
0.025941000,1,1,1,0
0.026045000,0,1,1,0
0.026150000,1,1,1,0
0.026254000,0,1,1,0
0.026358000,1,1,1,0
0.026462000,0,1,1,0
